        TIME                    X      Y      RAWX   RAWY   DETX   DETY
        s                       pixel  pixel  pixel  pixel  pixel  pixel
      1   4.729403845917234E+08    679   -172     58    462     59    463
      2   4.729403845917234E+08    562   -542    280    143    281    144
      3   4.729403845917234E+08    347   -543    485    205    486    206
      4   4.729403845917234E+08    255   -542    573    234    574    235
      5   4.729403845917234E+08    383   -604    469    137    470    138
      6   4.729403845917234E+08    564   -124    154    541    155    542
      7   4.729403845917234E+08    294   -590    550    176    551    177
      8   4.729403845917234E+08    461   -162    264    536    265    537
      9   4.729403845917234E+08    434   -689    445     41    446     42
     10   4.729403845917234E+08    310   -331    458    419    459    420
     11   4.729403845917234E+08    553   -200    188    472    189    473
     12   4.729403845917234E+08    600   -676    283      4    284      5
     13   4.729403845917234E+08    714   -204     35    421     36    422
     14   4.729403845917234E+08    746   -557    109     74    110     75
     15   4.729403870990517E+08    606   -124    114    529    115    530
     16   4.729403870990517E+08    477   -471    341    236    342    237
     17   4.729403870990517E+08    736   -516    106    117    107    118
     18   4.729403870990517E+08    580   -369    212    303    213    304
     19   4.729403870990517E+08    753   -510     88    117     89    118
     20   4.729403870990517E+08    399   -389    390    338    391    339
     21   4.729403870990517E+08    466   -100    241    594    242    595
     22   4.729403870990517E+08    349   -394    440    348    441    349
     23   4.729403870990517E+08    332   -520    493    233    494    234
     24   4.729403870990517E+08    509   -668    368     39    369     40
     25   4.729403896063717E+08    690   -198     56    434     57    435
     26   4.729403896063717E+08    724   -315     58    312     59    313
     27   4.729403896063717E+08    625   -336    159    322    160    323
     28   4.729403896063717E+08    589   -589    268     91    269     92
     29   4.729403896063717E+08    462   -157    262    541    263    542
     30   4.729403896063717E+08    347   -379    437    363    438    364
     31   4.729403921137317E+08    431   -114    278    591    279    592
     32   4.729403921137317E+08    395   -273    359    450    360    451
     33   4.729403921137317E+08    716   -230     41    396     42    397
     34   4.729403921137317E+08    755   -244      8    371      9    372
     35   4.729403921137317E+08    349   -394    440    348    441    349
     36   4.729403921137317E+08    261   -511    558    262    559    263
     37   4.729403921137317E+08    746   -558    109     74    110     75
     38   4.729403921137317E+08    269   -545    561    228    562    229
     39   4.729403921137317E+08    399   -178    329    539    330    540
     40   4.729403921137317E+08    323   -534    506    222    507    223
